,author_type,floor,floors_count,rooms_count,total_meters,price,lat,lon
340,homeowner,7.0,20.0,2.0,39.0,17500000,55.7010137,37.6336442
341,homeowner,9.0,13.0,2.0,67.2,22176000,55.7089518,37.6603544
342,developer,12.0,20.0,2.0,73.57,34741961,55.706447,37.65209268108206
343,realtor,7.0,12.0,3.0,62.5,21900000,55.70010765,37.68098371815424
344,developer,11.0,15.0,2.0,60.3,23690959,55.7010917,37.6420665
345,developer,6.0,16.0,2.0,54.1,25119766,55.697185000000005,37.63355765111619
346,real_estate_agent,7.0,7.0,5.0,98.3,29500000,55.7098599,37.6427218
347,developer,12.0,20.0,2.0,61.58,29742277,55.706447,37.65209268108206
348,real_estate_agent,19.0,20.0,2.0,52.8,24999998,55.6895642,37.655023701972894
349,developer,2.0,17.0,2.0,92.78,33812974,55.7178546,37.6530453
350,real_estate_agent,3.0,16.0,2.0,43.0,21500000,55.7079126,37.6558746
351,developer,21.0,21.0,4.0,102.27,54206640,55.7178546,37.6530453
