,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
178,0.0,21.0,2.0,70.0,32000000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,31597343.697820164
179,0.0,9.0,1.0,32.1,12000000,55.75277065,37.71106940442228,False,False,False,False,False,393722.9279766195,12638505.988049487
180,0.0,27.0,4.0,97.0,35000000,55.7509339,37.70581703825712,False,False,False,False,False,430884.86732278945,41795832.13031057
181,0.0,22.0,2.0,40.9,21900000,55.7515232,37.7036117,False,False,True,False,False,477996.38744482177,19550052.24649321
182,0.0,16.0,1.0,33.0,17700000,55.7509638,37.6992843,True,False,False,False,False,506086.02613571676,16700838.862478653
183,0.0,30.0,1.0,28.4,17950000,55.7515232,37.7036117,True,False,False,False,False,477996.38744482177,13575097.403432937
184,0.0,14.0,2.0,53.0,17500000,55.7462434,37.7048567,False,False,True,False,False,392125.58539985406,20782656.026192266
185,0.0,12.0,4.0,132.4,43900000,55.7532573,37.7157868,False,False,False,True,False,294031.04448163835,38929710.28936892
186,0.0,29.0,1.0,35.0,17300000,55.7515232,37.7036117,False,False,True,False,False,477996.38744482177,16729873.560568761
187,0.0,23.0,4.0,136.0,53700000,55.7518984,37.69745904852535,True,False,False,False,False,537938.9023265097,73159690.71640532
188,0.0,28.0,1.0,40.0,20590000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,20243441.04542867
189,0.0,28.0,2.0,47.9,26000000,55.7516085,37.6992828,False,False,True,False,False,506086.02613571676,24241520.65190083
190,0.0,5.0,3.0,80.0,21950000,55.7501058,37.714856667341095,False,False,False,True,False,293797.82004006644,23503825.603205316
191,0.0,31.0,1.0,37.8,13099000,55.75214375,37.763199701419,True,False,False,False,False,346534.39153439156,13099000.0
192,0.0,7.0,1.0,34.0,18000000,55.7595858,37.7415183,True,False,False,False,False,451580.8823529412,15353750.0
193,0.0,16.0,1.0,30.0,16500000,55.7509638,37.6992843,True,False,False,False,False,506086.02613571676,15182580.784071503
194,0.0,27.0,2.0,57.5,22890000,55.7515232,37.7036117,False,False,False,False,False,477996.38744482177,27484792.278077252
195,0.0,14.0,3.0,73.5,21500000,55.7453464,37.70236578673334,False,False,True,False,False,329798.6573330014,24240201.313975602
196,0.0,26.0,3.0,103.1,36540000,55.755748,37.7054757,False,False,False,False,False,453006.7470583439,46704995.621715255
